Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age
Mcq By Alexander Mcqueen,Contemporary,13,1,2006,18,18,10 to 20 Years,0,Exit,8,2011,5
Moschino,Luxury,18,6,1983,41,41,20 to 50 Years,0,Exit,9,2011,28
Pringle 1815,Contemporary,13,1,1815,209,209,Over 200 Years,0,Exit,10,2011,196
Rachel Roy New York,Contemporary,13,1,2004,20,20,10 to 20 Years,0,Exit,11,2011,7
Rebecca Minkoff,Contemporary,13,11,2005,19,19,10 to 20 Years,0,Exit,12,2011,6
Richard Chai,Contemporary,13,1,2004,20,20,10 to 20 Years,0,Exit,13,2011,7
Sigerson Morrison,Contemporary,17,5,1991,33,33,20 to 50 Years,0,Exit,14,2011,20
Tod's For Ferrari,Contemporary,19,1,1978,46,46,20 to 50 Years,0,Exit,3,2005,27
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,0,Exit,16,2011,13
Zimmermann,Contemporary,13,11,1991,33,33,20 to 50 Years,0,Exit,17,2011,20
Andrew Gn,Premium,17,8,1956,68,68,50 to 100 Years,0,Exit,1,2012,56
Bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,0,Exit,2,2012,80
Cinzia Rocca,Contemporary,12,1,1953,71,71,50 to 100 Years,0,Exit,3,2012,59
Mackage,Contemporary,13,7,1999,25,25,20 to 50 Years,0,Exit,4,2012,13
Moschino Cheap & Chic,Contemporary,19,7,1988,36,36,20 to 50 Years,0,Exit,5,2012,24
Pringle Of Scotland,Premium,15,3,2012,12,12,10 to 20 Years,0,Exit,6,2012,0
Sofia Cashmere,Premium,12,8,1984,40,40,20 to 50 Years,0,Exit,7,2012,28
Temperley London,Premium,17,6,2008,16,16,10 to 20 Years,0,Exit,8,2012,4
Tse Cashmere,Contemporary,19,5,1989,35,35,20 to 50 Years,0,Exit,9,2012,23
Adidas By Stella Mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,0,Exit,1,2013,8
Agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,0,Exit,2,2013,60
Alberta Ferretti,Luxury,19,8,1980,44,44,20 to 50 Years,0,Exit,3,2013,33
Balmain,Luxury,12,11,1945,79,79,50 to 100 Years,0,Exit,4,2013,68
Blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,0,Exit,5,2013,36
Camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,0,Exit,6,2013,9
Dior,Luxury,18,9,1946,78,78,50 to 100 Years,0,Exit,7,2013,67
Elizabeth & James,Contemporary,11,1,2007,17,17,10 to 20 Years,0,Exit,8,2013,6
Issa London,Contemporary,15,4,2006,18,18,10 to 20 Years,0,Exit,9,2013,7
Jack Rogers,Contemporary,13,8,1960,64,64,50 to 100 Years,0,Exit,10,2013,53
Jay Godfrey,Contemporary,15,9,2006,18,18,10 to 20 Years,0,Exit,11,2013,7
Marchesa Couture,Luxury,12,2,2004,20,20,10 to 20 Years,0,Exit,12,2013,9
Mugler,Premium,12,4,1958,66,66,50 to 100 Years,0,Exit,13,2013,55
Not Your Daughter'S Jeans,Contemporary,13,3,2003,21,21,20 to 50 Years,0,Exit,14,2013,10
Philosophy Di Alberta Ferretti,Premium,18,7,2001,23,23,20 to 50 Years,0,Exit,15,2013,12
Rochas,Premium,12,2,2003,21,21,20 to 50 Years,0,Exit,16,2013,10
Splits59,Contemporary,11,1,2008,16,16,10 to 20 Years,0,Exit,17,2013,5
Thakoon Addition,Contemporary,12,5,2012,12,12,10 to 20 Years,0,Exit,18,2013,1
What Goes Around Comes Around,Luxury,13,3,1993,31,31,20 to 50 Years,0,Exit,19,2013,20
Yigal Azrouel,Contemporary,19,3,1998,26,26,20 to 50 Years,0,Exit,20,2013,15
Zimmermann,Contemporary,13,11,1991,33,33,20 to 50 Years,0,Exit,21,2013,22
Acne,Contemporary,10,1,1996,28,28,20 to 50 Years,0,Exit,1,2014,18
Dsquared2,Contemporary,17,5,1995,29,29,20 to 50 Years,0,Exit,2,2014,19
Fuzzi,Contemporary,11,10,1954,70,70,50 to 100 Years,0,Exit,3,2014,60
Giambattista Valli,Luxury,12,7,2005,19,19,10 to 20 Years,0,Exit,4,2014,9
Mother Denim,Contemporary,12,4,2010,14,14,10 to 20 Years,0,Exit,5,2014,4
Rich And Skinny,Contemporary,16,4,2006,18,18,10 to 20 Years,0,Exit,6,2014,8
Smythe,Contemporary,12,11,2004,20,20,10 to 20 Years,0,Exit,7,2014,10
Thakoon,Contemporary,15,5,2004,20,20,10 to 20 Years,0,Exit,8,2014,10
Vera Wang,Contemporary,18,9,1990,34,34,20 to 50 Years,0,Exit,9,2014,24
10 Crosby Derek Lam,Contemporary,11,3,2011,13,13,10 to 20 Years,0,Exit,1,2015,4
Brian Atwood,Premium,17,7,1951,73,73,50 to 100 Years,0,Exit,2,2015,64
Burberry Brit,Premium,10,2,2007,17,17,10 to 20 Years,0,Exit,3,2015,8
Casadei,Premium,12,4,2009,15,15,10 to 20 Years,0,Exit,4,2015,6
Elyse Walker,Contemporary,9,1,1999,25,25,20 to 50 Years,0,Exit,5,2015,16
Faith Connexion,Contemporary,10,2,2004,20,20,10 to 20 Years,0,Exit,6,2015,11
J Brand Jeans,Contemporary,16,8,2004,20,20,10 to 20 Years,0,Exit,7,2015,11
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,0,Exit,8,2015,52
L'Wren Scott,Contemporary,9,1,2006,18,18,10 to 20 Years,0,Exit,9,2015,9
Maison Martin Margiela,Luxury,12,4,1988,36,36,20 to 50 Years,0,Exit,10,2015,27
Naeem Khan,Premium,12,11,2008,16,16,10 to 20 Years,0,Exit,11,2015,7
No. 21,Contemporary,9,5,2010,14,14,10 to 20 Years,0,Exit,12,2015,5
Rag & Bone/Jean,Contemporary,12,6,2002,22,22,20 to 50 Years,0,Exit,13,2015,13
Ralph Rucci,Luxury,9,1,1994,30,30,20 to 50 Years,0,Exit,14,2015,21
Reed Krakoff,Contemporary,11,3,2010,14,14,10 to 20 Years,0,Exit,15,2015,5
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,0,Exit,16,2015,8
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,0,Exit,17,2015,12
Sergio Rossi,Premium,14,7,2008,16,16,10 to 20 Years,0,Exit,18,2015,7
Theyskens' Theory,Contemporary,12,4,1997,27,27,20 to 50 Years,0,Exit,19,2015,18
Yves Saint Laurent,Luxury,18,10,1961,63,63,50 to 100 Years,0,Exit,20,2015,54
Amsale,Contemporary,8,1,1985,39,39,20 to 50 Years,0,Exit,1,2016,31
Bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,0,Exit,2,2016,84
Boyy,Contemporary,8,1,2006,18,18,10 to 20 Years,0,Exit,3,2016,10
Christian Siriano,Contemporary,9,2,2008,16,16,10 to 20 Years,0,Exit,4,2016,8
Costume National,Contemporary,9,2,1986,38,38,20 to 50 Years,0,Exit,5,2016,30
Donna Karan,Contemporary,15,9,1984,40,40,20 to 50 Years,0,Exit,6,2016,32
Fausto Puglisi,Contemporary,9,2,2010,14,14,10 to 20 Years,0,Exit,7,2016,6
Frame,Contemporary,9,8,2012,12,12,10 to 20 Years,0,Exit,8,2016,4
Francesco Russo,Contemporary,8,1,2013,11,11,10 to 20 Years,0,Exit,9,2016,3
Kotur,Contemporary,12,5,2004,20,20,10 to 20 Years,0,Exit,10,2016,12
L'Agence,Contemporary,10,8,2008,16,16,10 to 20 Years,0,Exit,11,2016,8
Lamarque,Contemporary,8,6,2011,13,13,10 to 20 Years,0,Exit,12,2016,5
Marc By Marc Jacobs,Contemporary,17,10,2000,24,24,20 to 50 Years,0,Exit,13,2016,16
Marco De Vincenzo,Contemporary,8,1,2009,15,15,10 to 20 Years,0,Exit,14,2016,7
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,0,Exit,15,2016,35
