Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Year,Listed?,Status,Rank
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2012,1,New,1
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2013,1,In,1
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2014,1,In,1
10 crosby derek lam,Contemporary,11,3,2011,13,13,10 to 20 Years,2015,0,Exit,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2007,1,New,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2008,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2009,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2010,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2011,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2012,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2013,1,In,2
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2014,1,In,2
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2015,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2016,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2017,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2018,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2019,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2020,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2021,1,In,1
3.1 phillip lim,Contemporary,16,16,2005,19,19,10 to 20 Years,2022,1,In,1
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2014,1,New,1
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2015,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2016,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2017,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2018,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2019,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2020,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2021,1,In,2
a.l.c.,Contemporary,9,9,2009,15,15,10 to 20 Years,2022,1,In,2
a.p.c.,Contemporary,1,1,1987,37,37,20 to 50 Years,2022,1,New,1
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2017,1,New,1
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2018,1,In,3
a.w.a.k.e.,Contemporary,6,2,2012,12,12,10 to 20 Years,2019,0,Exit,1
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2013,1,New,1
acne,Contemporary,10,1,1996,28,28,20 to 50 Years,2014,0,Exit,1
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2014,1,New,2
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2015,1,In,3
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2016,1,In,3
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2017,1,In,3
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2018,1,In,4
acne studios,Contemporary,9,5,1996,28,28,20 to 50 Years,2019,0,Exit,2
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2013,1,New,2
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2014,1,In,3
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2015,1,In,4
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2016,1,In,4
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2017,0,Exit,1
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2020,1,New,1
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2021,1,In,3
adam lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,2022,1,In,3
adidas,Contemporary,7,1,1949,75,75,50 to 100 Years,2016,1,New,1
adidas,Contemporary,7,1,1949,75,75,50 to 100 Years,2017,0,Exit,2
adidas by stella mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,2010,1,New,1
adidas by stella mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,2011,1,In,2
adidas by stella mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,2012,1,In,2
adidas by stella mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,2013,0,Exit,1
adidas by stella mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,2016,1,New,2
adidas by stella mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,2017,1,In,4
adidas by stella mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,2018,1,In,5
adidas by stella mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,2019,1,In,3
adidas by stella mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,2020,1,In,3
adidas by stella mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,2021,1,In,4
adidas by stella mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,2022,1,In,4
adrienne landau,Contemporary,4,1,1980,44,44,20 to 50 Years,2019,1,New,1
adrienne landau,Contemporary,4,1,1980,44,44,20 to 50 Years,2020,0,Exit,1
agent provocateur,Contemporary,2,2,1994,30,30,20 to 50 Years,2021,1,New,1
agent provocateur,Contemporary,2,2,1994,30,30,20 to 50 Years,2022,1,In,5
agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,2006,1,New,1
agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,2007,0,Exit,1
agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,2012,1,New,2
agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,2013,0,Exit,2
agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,2016,1,New,3
agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,2017,1,In,5
agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,2018,1,In,6
agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,2019,1,In,4
agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,2020,1,In,4
agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,2021,1,In,5
agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,2022,1,In,6
agolde,Contemporary,4,4,2014,10,10,5 to 10 Years,2019,1,New,2
agolde,Contemporary,4,4,2014,10,10,5 to 10 Years,2020,1,In,5
agolde,Contemporary,4,4,2014,10,10,5 to 10 Years,2021,1,In,6
agolde,Contemporary,4,4,2014,10,10,5 to 10 Years,2022,1,In,7
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2007,1,New,3
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2008,1,In,3
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2009,1,In,3
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2010,1,In,3
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2011,1,In,4
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2012,1,In,4
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2013,1,In,4
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2014,1,In,5
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2015,1,In,6
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2016,1,In,6
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2017,1,In,7
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2018,1,In,8
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2019,1,In,6
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2020,1,In,7
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2021,1,In,8
akris punto,Contemporary,16,16,1995,29,29,20 to 50 Years,2022,1,In,9
alanui,Contemporary,5,2,2016,8,8,5 to 10 Years,2018,1,New,2
alanui,Contemporary,5,2,2016,8,8,5 to 10 Years,2019,1,In,7
alanui,Contemporary,5,2,2016,8,8,5 to 10 Years,2020,0,Exit,2
alessandra rich,Contemporary,1,1,2010,14,14,10 to 20 Years,2022,1,New,3
alexa chung,Contemporary,6,2,2016,8,8,5 to 10 Years,2017,1,New,2
alexa chung,Contemporary,6,2,2016,8,8,5 to 10 Years,2018,1,In,9
alexa chung,Contemporary,6,2,2016,8,8,5 to 10 Years,2019,0,Exit,4
alexander wang,Contemporary,12,10,2005,19,19,10 to 20 Years,2011,1,New,1
alexander wang,Contemporary,12,10,2005,19,19,10 to 20 Years,2012,1,In,6
alexander wang,Contemporary,12,10,2005,19,19,10 to 20 Years,2013,1,In,6
alexander wang,Contemporary,12,10,2005,19,19,10 to 20 Years,2014,1,In,7
alexander wang,Contemporary,12,10,2005,19,19,10 to 20 Years,2015,1,In,8
alexander wang,Contemporary,12,10,2005,19,19,10 to 20 Years,2016,1,In,8
alexander wang,Contemporary,12,10,2005,19,19,10 to 20 Years,2017,1,In,9
alexander wang,Contemporary,12,10,2005,19,19,10 to 20 Years,2018,1,In,11
alexander wang,Contemporary,12,10,2005,19,19,10 to 20 Years,2019,1,In,9
alexander wang,Contemporary,12,10,2005,19,19,10 to 20 Years,2020,1,In,9
alexander wang,Contemporary,12,10,2005,19,19,10 to 20 Years,2021,0,Exit,1
alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,2013,1,New,3
alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,2014,1,In,9
alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,2015,1,In,10
alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,2016,1,In,10
alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,2017,1,In,11
alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,2018,1,In,12
alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,2019,1,In,10
alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,2020,1,In,11
alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,2021,1,In,13
alexis,Contemporary,10,10,2008,16,16,10 to 20 Years,2022,1,In,14
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2005,1,New,1
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2006,1,In,2
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2007,1,In,2
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2008,1,In,5
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2009,1,In,6
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2010,1,In,6
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2011,1,In,6
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2012,1,In,8
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2013,1,In,8
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2014,1,In,10
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2015,1,In,11
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2016,1,In,11
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2017,1,In,12
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2018,1,In,13
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2019,1,In,11
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2020,1,In,12
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2021,1,In,14
alice + olivia,Contemporary,18,18,2002,22,22,20 to 50 Years,2022,1,In,15
all things mochi,Contemporary,4,1,2013,11,11,10 to 20 Years,2019,1,New,4
all things mochi,Contemporary,4,1,2013,11,11,10 to 20 Years,2020,0,Exit,3
alo yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,2016,1,New,4
alo yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,2017,1,In,13
alo yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,2018,1,In,14
alo yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,2019,1,In,12
alo yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,2020,1,In,13
alo yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,2021,1,In,15
alo yoga,Contemporary,7,7,2007,17,17,10 to 20 Years,2022,1,In,16
amanda uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,2012,1,New,5
amanda uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,2013,1,In,10
amanda uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,2014,1,In,12
amanda uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,2015,1,In,13
amanda uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,2016,1,In,13
amanda uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,2017,1,In,15
amanda uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,2018,1,In,16
amanda uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,2019,1,In,14
amanda uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,2020,1,In,15
amanda uprichard,Contemporary,11,9,2003,21,21,20 to 50 Years,2021,0,Exit,2
amsale,Contemporary,8,1,1985,39,39,20 to 50 Years,2015,1,New,1
amsale,Contemporary,8,1,1985,39,39,20 to 50 Years,2016,0,Exit,1
amur,Contemporary,1,1,2017,7,7,5 to 10 Years,2022,1,New,5
anna sui,Contemporary,19,5,1981,43,43,20 to 50 Years,2004,1,In,2
anna sui,Contemporary,19,5,1981,43,43,20 to 50 Years,2005,1,In,2
anna sui,Contemporary,19,5,1981,43,43,20 to 50 Years,2006,1,In,3
anna sui,Contemporary,19,5,1981,43,43,20 to 50 Years,2007,0,Exit,4
anna sui,Contemporary,19,5,1981,43,43,20 to 50 Years,2021,1,New,3
anna sui,Contemporary,19,5,1981,43,43,20 to 50 Years,2022,1,In,20
anya hindmarch,Contemporary,8,3,1987,37,37,20 to 50 Years,2015,1,New,2
anya hindmarch,Contemporary,8,3,1987,37,37,20 to 50 Years,2016,1,In,14
anya hindmarch,Contemporary,8,3,1987,37,37,20 to 50 Years,2017,1,In,16
anya hindmarch,Contemporary,8,3,1987,37,37,20 to 50 Years,2018,0,Exit,2
apparis,Contemporary,1,1,2016,8,8,5 to 10 Years,2022,1,New,6
aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,2014,1,New,3
aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,2015,1,In,14
aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,2016,1,In,15
aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,2017,0,Exit,3
aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,2018,1,New,3
aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,2019,1,In,15
aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,2020,1,In,16
aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,2021,1,In,19
aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,2022,1,In,21
armani jeans,Contemporary,18,2,1981,43,43,20 to 50 Years,2005,1,New,2
armani jeans,Contemporary,18,2,1981,43,43,20 to 50 Years,2006,1,In,5
armani jeans,Contemporary,18,2,1981,43,43,20 to 50 Years,2007,0,Exit,5
attico,Contemporary,6,6,2016,8,8,5 to 10 Years,2017,1,New,3
attico,Contemporary,6,6,2016,8,8,5 to 10 Years,2018,1,In,18
attico,Contemporary,6,6,2016,8,8,5 to 10 Years,2019,1,In,17
attico,Contemporary,6,6,2016,8,8,5 to 10 Years,2020,1,In,18
attico,Contemporary,6,6,2016,8,8,5 to 10 Years,2021,1,In,21
attico,Contemporary,6,6,2016,8,8,5 to 10 Years,2022,1,In,23
ba&sh,Contemporary,3,2,2003,21,21,20 to 50 Years,2020,1,New,7
ba&sh,Contemporary,3,2,2003,21,21,20 to 50 Years,2021,0,Exit,4
ba&sh,Contemporary,3,2,2003,21,21,20 to 50 Years,2022,1,New,8
ba&sh;,Contemporary,7,1,2003,21,21,20 to 50 Years,2016,1,New,5
ba&sh;,Contemporary,7,1,2003,21,21,20 to 50 Years,2017,0,Exit,4
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2008,1,New,3
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2009,1,In,9
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2010,0,Exit,1
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2011,1,New,3
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2012,1,In,10
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2013,1,In,12
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2014,1,In,15
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2015,1,In,17
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2016,1,In,18
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2017,1,In,19
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2018,1,In,19
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2019,1,In,18
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2020,1,In,19
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2021,1,In,22
badgley mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,2022,1,In,24
badgley mischka couture,Contemporary,7,1,1988,36,36,20 to 50 Years,2016,1,New,6
badgley mischka couture,Contemporary,7,1,1988,36,36,20 to 50 Years,2017,0,Exit,5
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2011,1,New,4
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2012,1,In,11
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2013,1,In,13
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2014,1,In,16
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2015,1,In,18
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2016,1,In,19
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2017,1,In,20
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2018,1,In,20
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2019,1,In,19
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2020,1,In,20
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2021,1,In,23
bailey 44,Contemporary,12,12,2006,18,18,10 to 20 Years,2022,1,In,25
barbour,Contemporary,5,3,1894,130,130,100 to 200 Years,2018,1,New,4
barbour,Contemporary,5,3,1894,130,130,100 to 200 Years,2019,1,In,22
barbour,Contemporary,5,3,1894,130,130,100 to 200 Years,2020,1,In,23
barbour,Contemporary,5,3,1894,130,130,100 to 200 Years,2021,0,Exit,5
belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,2013,1,New,5
belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,2014,1,In,18
belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,2015,1,In,21
belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,2016,1,In,22
belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,2017,0,Exit,6
belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,2019,1,New,5
belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,2020,0,Exit,4
beyond yoga,Contemporary,6,6,2006,18,18,10 to 20 Years,2017,1,New,4
beyond yoga,Contemporary,6,6,2006,18,18,10 to 20 Years,2018,1,In,23
beyond yoga,Contemporary,6,6,2006,18,18,10 to 20 Years,2019,1,In,23
beyond yoga,Contemporary,6,6,2006,18,18,10 to 20 Years,2020,1,In,24
beyond yoga,Contemporary,6,6,2006,18,18,10 to 20 Years,2021,1,In,26
beyond yoga,Contemporary,6,6,2006,18,18,10 to 20 Years,2022,1,In,29
birkenstock,Contemporary,2,2,1774,250,250,Over 200 Years,2021,1,New,5
birkenstock,Contemporary,2,2,1774,250,250,Over 200 Years,2022,1,In,30
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2008,1,New,4
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2009,1,In,10
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2010,1,In,9
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2011,0,Exit,2
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2012,1,New,7
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2013,1,In,15
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2014,1,In,19
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2015,1,In,22
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2016,1,In,23
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2017,1,In,23
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2018,1,In,24
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2019,1,In,24
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2020,1,In,25
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2021,1,In,27
black halo,Contemporary,15,14,2002,22,22,20 to 50 Years,2022,1,In,31
blanc noir,Contemporary,6,6,2013,11,11,10 to 20 Years,2017,1,New,5
blanc noir,Contemporary,6,6,2013,11,11,10 to 20 Years,2018,1,In,25
blanc noir,Contemporary,6,6,2013,11,11,10 to 20 Years,2019,1,In,25
blanc noir,Contemporary,6,6,2013,11,11,10 to 20 Years,2020,1,In,26
blanc noir,Contemporary,6,6,2013,11,11,10 to 20 Years,2021,1,In,28
blanc noir,Contemporary,6,6,2013,11,11,10 to 20 Years,2022,1,In,32
blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,2004,1,In,4
blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,2005,1,In,4
blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,2006,1,In,6
blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,2007,1,In,5
blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,2008,1,In,8
blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,2009,1,In,11
blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,2010,1,In,10
blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,2011,1,In,9
blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,2012,1,In,13
blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,2013,0,Exit,5
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2007,1,New,4
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2008,0,Exit,1
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2011,1,New,6
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2012,0,Exit,2
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2015,1,New,3
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2016,0,Exit,2
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2017,1,New,6
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2018,1,In,26
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2019,1,In,26
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2020,1,In,27
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2021,1,In,29
bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,2022,1,In,33
boyy,Contemporary,8,1,2006,18,18,10 to 20 Years,2015,1,New,4
boyy,Contemporary,8,1,2006,18,18,10 to 20 Years,2016,0,Exit,3
bruno magli,Contemporary,1,1,1936,88,88,50 to 100 Years,2022,1,New,9
by far,Contemporary,3,3,2016,8,8,5 to 10 Years,2020,1,New,8
by far,Contemporary,3,3,2016,8,8,5 to 10 Years,2021,1,In,35
by far,Contemporary,3,3,2016,8,8,5 to 10 Years,2022,1,In,38
calvin klein 205w39nyc,Contemporary,6,3,1968,56,56,50 to 100 Years,2017,1,New,9
calvin klein 205w39nyc,Contemporary,6,3,1968,56,56,50 to 100 Years,2018,1,In,33
calvin klein 205w39nyc,Contemporary,6,3,1968,56,56,50 to 100 Years,2019,1,In,32
calvin klein 205w39nyc,Contemporary,6,3,1968,56,56,50 to 100 Years,2020,0,Exit,5
camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,2012,1,New,8
camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,2013,0,Exit,6
camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,2014,1,New,5
camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,2015,1,In,26
camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,2016,1,In,27
camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,2017,1,In,28
camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,2018,1,In,34
camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,2019,1,In,33
camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,2020,1,In,33
camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,2021,1,In,36
camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,2022,1,In,39
canada goose,Contemporary,9,9,1957,67,67,50 to 100 Years,2014,1,New,6
canada goose,Contemporary,9,9,1957,67,67,50 to 100 Years,2015,1,In,27
canada goose,Contemporary,9,9,1957,67,67,50 to 100 Years,2016,1,In,28
canada goose,Contemporary,9,9,1957,67,67,50 to 100 Years,2017,1,In,29
canada goose,Contemporary,9,9,1957,67,67,50 to 100 Years,2018,1,In,35
canada goose,Contemporary,9,9,1957,67,67,50 to 100 Years,2019,1,In,34
canada goose,Contemporary,9,9,1957,67,67,50 to 100 Years,2020,1,In,34
canada goose,Contemporary,9,9,1957,67,67,50 to 100 Years,2021,1,In,37
canada goose,Contemporary,9,9,1957,67,67,50 to 100 Years,2022,1,In,40
carbon 38,Contemporary,5,1,2013,11,11,10 to 20 Years,2018,1,New,5
carbon 38,Contemporary,5,1,2013,11,11,10 to 20 Years,2019,0,Exit,6
caroline constas,Contemporary,6,4,2012,12,12,10 to 20 Years,2017,1,New,10
caroline constas,Contemporary,6,4,2012,12,12,10 to 20 Years,2018,1,In,37
caroline constas,Contemporary,6,4,2012,12,12,10 to 20 Years,2019,1,In,36
caroline constas,Contemporary,6,4,2012,12,12,10 to 20 Years,2020,1,In,36
caroline constas,Contemporary,6,4,2012,12,12,10 to 20 Years,2021,0,Exit,6
chiara boni la petite robe,Contemporary,6,6,2007,17,17,10 to 20 Years,2017,1,New,12
chiara boni la petite robe,Contemporary,6,6,2007,17,17,10 to 20 Years,2018,1,In,39
chiara boni la petite robe,Contemporary,6,6,2007,17,17,10 to 20 Years,2019,1,In,38
chiara boni la petite robe,Contemporary,6,6,2007,17,17,10 to 20 Years,2020,1,In,38
chiara boni la petite robe,Contemporary,6,6,2007,17,17,10 to 20 Years,2021,1,In,40
chiara boni la petite robe,Contemporary,6,6,2007,17,17,10 to 20 Years,2022,1,In,43
christian siriano,Contemporary,9,2,2008,16,16,10 to 20 Years,2014,1,New,7
christian siriano,Contemporary,9,2,2008,16,16,10 to 20 Years,2015,1,In,32
christian siriano,Contemporary,9,2,2008,16,16,10 to 20 Years,2016,0,Exit,4
