Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age,Relative Age Group
Tse Cashmere,Contemporary,19,5,1989,35,35,20 to 50 Years,0,Exit,9,2012,23,5 to 10 Years
Adidas By Stella Mccartney,Contemporary,13,10,2005,19,19,10 to 20 Years,0,Exit,1,2013,8,5 to 10 Years
Agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,0,Exit,2,2013,60,5 to 10 Years
Alberta Ferretti,Luxury,19,8,1980,44,44,20 to 50 Years,0,Exit,3,2013,33,5 to 10 Years
Balmain,Luxury,12,11,1945,79,79,50 to 100 Years,0,Exit,4,2013,68,5 to 10 Years
Blumarine,Contemporary,19,9,1977,47,47,20 to 50 Years,0,Exit,5,2013,36,5 to 10 Years
Camilla,Contemporary,11,10,2004,20,20,10 to 20 Years,0,Exit,6,2013,9,5 to 10 Years
Dior,Luxury,18,9,1946,78,78,50 to 100 Years,0,Exit,7,2013,67,5 to 10 Years
Elizabeth & James,Contemporary,11,1,2007,17,17,10 to 20 Years,0,Exit,8,2013,6,5 to 10 Years
Issa London,Contemporary,15,4,2006,18,18,10 to 20 Years,0,Exit,9,2013,7,5 to 10 Years
Jack Rogers,Contemporary,13,8,1960,64,64,50 to 100 Years,0,Exit,10,2013,53,5 to 10 Years
Jay Godfrey,Contemporary,15,9,2006,18,18,10 to 20 Years,0,Exit,11,2013,7,5 to 10 Years
Marchesa Couture,Luxury,12,2,2004,20,20,10 to 20 Years,0,Exit,12,2013,9,5 to 10 Years
Mugler,Premium,12,4,1958,66,66,50 to 100 Years,0,Exit,13,2013,55,5 to 10 Years
Not Your Daughter'S Jeans,Contemporary,13,3,2003,21,21,20 to 50 Years,0,Exit,14,2013,10,5 to 10 Years
Philosophy Di Alberta Ferretti,Premium,18,7,2001,23,23,20 to 50 Years,0,Exit,15,2013,12,5 to 10 Years
Rochas,Premium,12,2,2003,21,21,20 to 50 Years,0,Exit,16,2013,10,5 to 10 Years
Splits59,Contemporary,11,1,2008,16,16,10 to 20 Years,0,Exit,17,2013,5,5 to 10 Years
Thakoon Addition,Contemporary,12,5,2012,12,12,10 to 20 Years,0,Exit,18,2013,1,5 to 10 Years
What Goes Around Comes Around,Luxury,13,3,1993,31,31,20 to 50 Years,0,Exit,19,2013,20,5 to 10 Years
Yigal Azrouel,Contemporary,19,3,1998,26,26,20 to 50 Years,0,Exit,20,2013,15,5 to 10 Years
Zimmermann,Contemporary,13,11,1991,33,33,20 to 50 Years,0,Exit,21,2013,22,5 to 10 Years
Acne,Contemporary,10,1,1996,28,28,20 to 50 Years,0,Exit,1,2014,18,5 to 10 Years
Dsquared2,Contemporary,17,5,1995,29,29,20 to 50 Years,0,Exit,2,2014,19,5 to 10 Years
Fuzzi,Contemporary,11,10,1954,70,70,50 to 100 Years,0,Exit,3,2014,60,5 to 10 Years
Giambattista Valli,Luxury,12,7,2005,19,19,10 to 20 Years,0,Exit,4,2014,9,5 to 10 Years
Mother Denim,Contemporary,12,4,2010,14,14,10 to 20 Years,0,Exit,5,2014,4,5 to 10 Years
Rich And Skinny,Contemporary,16,4,2006,18,18,10 to 20 Years,0,Exit,6,2014,8,5 to 10 Years
Smythe,Contemporary,12,11,2004,20,20,10 to 20 Years,0,Exit,7,2014,10,5 to 10 Years
Thakoon,Contemporary,15,5,2004,20,20,10 to 20 Years,0,Exit,8,2014,10,5 to 10 Years
Vera Wang,Contemporary,18,9,1990,34,34,20 to 50 Years,0,Exit,9,2014,24,5 to 10 Years
10 Crosby Derek Lam,Contemporary,11,3,2011,13,13,10 to 20 Years,0,Exit,1,2015,4,5 to 10 Years
Brian Atwood,Premium,17,7,1951,73,73,50 to 100 Years,0,Exit,2,2015,64,5 to 10 Years
Burberry Brit,Premium,10,2,2007,17,17,10 to 20 Years,0,Exit,3,2015,8,5 to 10 Years
Casadei,Premium,12,4,2009,15,15,10 to 20 Years,0,Exit,4,2015,6,5 to 10 Years
Elyse Walker,Contemporary,9,1,1999,25,25,20 to 50 Years,0,Exit,5,2015,16,5 to 10 Years
Faith Connexion,Contemporary,10,2,2004,20,20,10 to 20 Years,0,Exit,6,2015,11,5 to 10 Years
J Brand Jeans,Contemporary,16,8,2004,20,20,10 to 20 Years,0,Exit,7,2015,11,5 to 10 Years
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,0,Exit,8,2015,52,5 to 10 Years
L'Wren Scott,Contemporary,9,1,2006,18,18,10 to 20 Years,0,Exit,9,2015,9,5 to 10 Years
Maison Martin Margiela,Luxury,12,4,1988,36,36,20 to 50 Years,0,Exit,10,2015,27,5 to 10 Years
Naeem Khan,Premium,12,11,2008,16,16,10 to 20 Years,0,Exit,11,2015,7,5 to 10 Years
No. 21,Contemporary,9,5,2010,14,14,10 to 20 Years,0,Exit,12,2015,5,5 to 10 Years
Rag & Bone/Jean,Contemporary,12,6,2002,22,22,20 to 50 Years,0,Exit,13,2015,13,5 to 10 Years
Ralph Rucci,Luxury,9,1,1994,30,30,20 to 50 Years,0,Exit,14,2015,21,5 to 10 Years
Reed Krakoff,Contemporary,11,3,2010,14,14,10 to 20 Years,0,Exit,15,2015,5,5 to 10 Years
Robert Clergerie,Premium,19,11,2007,17,17,10 to 20 Years,0,Exit,16,2015,8,5 to 10 Years
Robert Rodriguez,Contemporary,18,12,2003,21,21,20 to 50 Years,0,Exit,17,2015,12,5 to 10 Years
Sergio Rossi,Premium,14,7,2008,16,16,10 to 20 Years,0,Exit,18,2015,7,5 to 10 Years
Theyskens' Theory,Contemporary,12,4,1997,27,27,20 to 50 Years,0,Exit,19,2015,18,5 to 10 Years
Yves Saint Laurent,Luxury,18,10,1961,63,63,50 to 100 Years,0,Exit,20,2015,54,5 to 10 Years
Amsale,Contemporary,8,1,1985,39,39,20 to 50 Years,0,Exit,1,2016,31,5 to 10 Years
Bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,0,Exit,2,2016,84,5 to 10 Years
Boyy,Contemporary,8,1,2006,18,18,10 to 20 Years,0,Exit,3,2016,10,5 to 10 Years
Christian Siriano,Contemporary,9,2,2008,16,16,10 to 20 Years,0,Exit,4,2016,8,5 to 10 Years
Costume National,Contemporary,9,2,1986,38,38,20 to 50 Years,0,Exit,5,2016,30,5 to 10 Years
Donna Karan,Contemporary,15,9,1984,40,40,20 to 50 Years,0,Exit,6,2016,32,5 to 10 Years
Fausto Puglisi,Contemporary,9,2,2010,14,14,10 to 20 Years,0,Exit,7,2016,6,5 to 10 Years
Frame,Contemporary,9,8,2012,12,12,10 to 20 Years,0,Exit,8,2016,4,5 to 10 Years
Francesco Russo,Contemporary,8,1,2013,11,11,10 to 20 Years,0,Exit,9,2016,3,5 to 10 Years
Kotur,Contemporary,12,5,2004,20,20,10 to 20 Years,0,Exit,10,2016,12,5 to 10 Years
L'Agence,Contemporary,10,8,2008,16,16,10 to 20 Years,0,Exit,11,2016,8,5 to 10 Years
Lamarque,Contemporary,8,6,2011,13,13,10 to 20 Years,0,Exit,12,2016,5,5 to 10 Years
Marc By Marc Jacobs,Contemporary,17,10,2000,24,24,20 to 50 Years,0,Exit,13,2016,16,5 to 10 Years
Marco De Vincenzo,Contemporary,8,1,2009,15,15,10 to 20 Years,0,Exit,14,2016,7,5 to 10 Years
Michael Kors,Contemporary,19,12,1981,43,43,20 to 50 Years,0,Exit,15,2016,35,5 to 10 Years
Mother Of Pearl,Contemporary,8,2,2002,22,22,20 to 50 Years,0,Exit,16,2016,14,5 to 10 Years
Nicholas Kirkwood,Contemporary,12,5,2005,19,19,10 to 20 Years,0,Exit,17,2016,11,5 to 10 Years
Nicole Miller,Contemporary,18,13,1982,42,42,20 to 50 Years,0,Exit,18,2016,34,5 to 10 Years
Paul Andrew,Premium,10,3,2009,15,15,10 to 20 Years,0,Exit,19,2016,7,5 to 10 Years
Pierre Hardy,Premium,8,1,2013,11,11,10 to 20 Years,0,Exit,20,2016,3,5 to 10 Years
Rafe,Contemporary,18,10,1997,27,27,20 to 50 Years,0,Exit,21,2016,19,5 to 10 Years
Rick Owens,Premium,12,5,2014,10,10,5 to 10 Years,0,Exit,22,2016,2,5 to 10 Years
Ronny Kobo,Contemporary,8,2,2009,15,15,10 to 20 Years,0,Exit,23,2016,7,5 to 10 Years
Sass & Bide,Contemporary,8,1,1999,25,25,20 to 50 Years,0,Exit,24,2016,17,5 to 10 Years
Tamara Mellon,Contemporary,9,2,2016,8,8,5 to 10 Years,0,Exit,25,2016,0,5 to 10 Years
Tracy Reese,Contemporary,18,10,1998,26,26,20 to 50 Years,0,Exit,26,2016,18,5 to 10 Years
Versace Collection,Contemporary,10,3,1989,35,35,20 to 50 Years,0,Exit,27,2016,27,5 to 10 Years
Xirena,Contemporary,11,8,2011,13,13,10 to 20 Years,0,Exit,28,2016,5,5 to 10 Years
Adam Lippes,Contemporary,10,7,2004,20,20,10 to 20 Years,0,Exit,1,2017,13,5 to 10 Years
Adidas,Contemporary,7,1,1949,75,75,50 to 100 Years,0,Exit,2,2017,68,5 to 10 Years
Aquatalia,Contemporary,9,8,1994,30,30,20 to 50 Years,0,Exit,3,2017,23,5 to 10 Years
Ba&Sh,Contemporary,7,1,2003,21,21,20 to 50 Years,0,Exit,4,2017,14,5 to 10 Years
Badgley Mischka Couture,Contemporary,7,1,1988,36,36,20 to 50 Years,0,Exit,5,2017,29,5 to 10 Years
Belstaff,Contemporary,10,5,1924,100,100,50 to 100 Years,0,Exit,6,2017,93,5 to 10 Years
Buscemi,Premium,7,1,1974,50,50,20 to 50 Years,0,Exit,7,2017,43,5 to 10 Years
Charlotte Olympia,Premium,12,6,2009,15,15,10 to 20 Years,0,Exit,8,2017,8,5 to 10 Years
Common Projects,Contemporary,7,1,2004,20,20,10 to 20 Years,0,Exit,9,2017,13,5 to 10 Years
Creatures Of The Wind,Contemporary,7,1,2008,16,16,10 to 20 Years,0,Exit,10,2017,9,5 to 10 Years
Eskandar,Premium,19,17,2001,23,23,20 to 50 Years,0,Exit,11,2017,16,5 to 10 Years
For Love & Lemons,Contemporary,9,3,2011,13,13,10 to 20 Years,0,Exit,12,2017,6,5 to 10 Years
Hunter Boot,Contemporary,12,6,1856,168,168,100 to 200 Years,1,Exit,13,2017,161,5 to 10 Years
Isabel Marant Etoile,Contemporary,7,4,1999,25,25,20 to 50 Years,0,Exit,14,2017,18,5 to 10 Years
J. Mendel,Luxury,12,6,1870,154,154,100 to 200 Years,0,Exit,15,2017,147,5 to 10 Years
Kendall + Kylie,Contemporary,7,1,2012,12,12,10 to 20 Years,0,Exit,16,2017,5,5 to 10 Years
La Petite Robe Di Chiara Boni,Contemporary,8,2,2007,17,17,10 to 20 Years,0,Exit,17,2017,10,5 to 10 Years
Magaschoni,Contemporary,15,9,1989,35,35,20 to 50 Years,0,Exit,18,2017,28,5 to 10 Years
Ml Monique Lhuillier,Contemporary,12,11,1996,28,28,20 to 50 Years,0,Exit,19,2017,21,5 to 10 Years
Mm6 Maison Margiela,Contemporary,7,3,1997,27,27,20 to 50 Years,0,Exit,20,2017,20,5 to 10 Years
Mugler,Premium,12,4,1958,66,66,50 to 100 Years,0,Exit,21,2017,59,5 to 10 Years
New Balance,Contemporary,7,1,1906,118,118,100 to 200 Years,0,Exit,22,2017,111,5 to 10 Years
Nina Ricci,Luxury,15,12,1932,92,92,50 to 100 Years,0,Exit,23,2017,85,5 to 10 Years
Paige Denim,Contemporary,11,5,2004,20,20,10 to 20 Years,0,Exit,24,2017,13,5 to 10 Years
Public School,Contemporary,7,1,2008,16,16,10 to 20 Years,0,Exit,25,2017,9,5 to 10 Years
Red Valentino,Contemporary,14,8,2003,21,21,20 to 50 Years,0,Exit,26,2017,14,5 to 10 Years
Repetto,Contemporary,7,1,1947,77,77,50 to 100 Years,0,Exit,27,2017,70,5 to 10 Years
Suno,Contemporary,7,1,2008,16,16,10 to 20 Years,0,Exit,28,2017,9,5 to 10 Years
Ted Baker London,Contemporary,9,5,1988,36,36,20 to 50 Years,0,Exit,29,2017,29,5 to 10 Years
Thakoon Addition,Contemporary,12,5,2012,12,12,10 to 20 Years,0,Exit,30,2017,5,5 to 10 Years
Alexandre Birman,Premium,12,11,2008,16,16,10 to 20 Years,0,Exit,1,2018,10,5 to 10 Years
Anya Hindmarch,Contemporary,8,3,1987,37,37,20 to 50 Years,0,Exit,2,2018,31,5 to 10 Years
Armani Collezioni,Luxury,19,14,1979,45,45,20 to 50 Years,0,Exit,3,2018,39,5 to 10 Years
Coach 1941,Contemporary,7,2,1941,83,83,50 to 100 Years,0,Exit,4,2018,77,5 to 10 Years
Coach New York,Contemporary,7,2,1941,83,83,50 to 100 Years,0,Exit,5,2018,77,5 to 10 Years
Delpozo,Premium,6,1,2015,9,9,5 to 10 Years,0,Exit,6,2018,3,5 to 10 Years
Etoile Isabel Marant,Contemporary,6,2,1994,30,30,20 to 50 Years,0,Exit,7,2018,24,5 to 10 Years
Fleurette,Contemporary,6,5,1949,75,75,50 to 100 Years,0,Exit,8,2018,69,5 to 10 Years
Jay Godfrey,Contemporary,15,9,2006,18,18,10 to 20 Years,0,Exit,9,2018,12,5 to 10 Years
Jean Paul Gaultier,Luxury,19,14,1982,42,42,20 to 50 Years,0,Exit,10,2018,36,5 to 10 Years
Just Cavalli,Contemporary,19,16,1998,26,26,20 to 50 Years,0,Exit,11,2018,20,5 to 10 Years
Lanvin,Luxury,12,7,1889,135,135,100 to 200 Years,0,Exit,12,2018,129,5 to 10 Years
Mary Katrantzou,Premium,12,7,1988,36,36,20 to 50 Years,0,Exit,13,2018,30,5 to 10 Years
Mcm,Contemporary,8,6,1976,48,48,20 to 50 Years,0,Exit,14,2018,42,5 to 10 Years
Monse,Contemporary,7,2,2015,9,9,5 to 10 Years,0,Exit,15,2018,3,5 to 10 Years
Moschino,Luxury,18,6,1983,41,41,20 to 50 Years,0,Exit,16,2018,35,5 to 10 Years
Mother Denim,Contemporary,12,4,2010,14,14,10 to 20 Years,0,Exit,17,2018,8,5 to 10 Years
Nicholas,Contemporary,8,3,2003,21,21,20 to 50 Years,0,Exit,18,2018,15,5 to 10 Years
Olympia Le-Tan,Premium,6,4,1966,58,58,50 to 100 Years,0,Exit,19,2018,52,5 to 10 Years
Paco Rabanne,Premium,6,4,1987,37,37,20 to 50 Years,0,Exit,20,2018,31,5 to 10 Years
Peserico,Contemporary,7,2,1962,62,62,50 to 100 Years,0,Exit,21,2018,56,5 to 10 Years
Ph15,Contemporary,7,2,2011,13,13,10 to 20 Years,0,Exit,22,2018,7,5 to 10 Years
Post Card,Contemporary,16,3,1957,67,67,50 to 100 Years,0,Exit,23,2018,61,5 to 10 Years
Prabal Gurung,Premium,8,3,1937,87,87,50 to 100 Years,0,Exit,24,2018,81,5 to 10 Years
Rafe,Contemporary,18,10,1997,27,27,20 to 50 Years,0,Exit,25,2018,21,5 to 10 Years
Rag & Bone/Jean,Contemporary,12,6,2002,22,22,20 to 50 Years,0,Exit,26,2018,16,5 to 10 Years
Sanayi313,Contemporary,6,1,2015,9,9,5 to 10 Years,0,Exit,27,2018,3,5 to 10 Years
Smythson,Contemporary,8,3,1887,137,137,100 to 200 Years,0,Exit,28,2018,131,5 to 10 Years
Sophie Hulme,Contemporary,10,5,2007,17,17,10 to 20 Years,0,Exit,29,2018,11,5 to 10 Years
Tabitha Simmons,Premium,11,6,1986,38,38,20 to 50 Years,0,Exit,30,2018,32,5 to 10 Years
Theirry Mugler,Luxury,6,1,1973,51,51,50 to 100 Years,0,Exit,31,2018,45,5 to 10 Years
A.W.A.K.E.,Contemporary,6,2,2012,12,12,10 to 20 Years,0,Exit,1,2019,7,5 to 10 Years
Acne Studios,Contemporary,9,5,1996,28,28,20 to 50 Years,0,Exit,2,2019,23,5 to 10 Years
Alaia,Luxury,5,1,1980,44,44,20 to 50 Years,0,Exit,3,2019,39,5 to 10 Years
Alexa Chung,Contemporary,6,2,2016,8,8,5 to 10 Years,0,Exit,4,2019,3,5 to 10 Years
Boutique Moschino,Luxury,6,2,1983,41,41,20 to 50 Years,0,Exit,5,2019,36,5 to 10 Years
Carbon 38,Contemporary,5,1,2013,11,11,10 to 20 Years,0,Exit,6,2019,6,5 to 10 Years
Cushnie Et Ochs,Contemporary,9,5,2008,16,16,10 to 20 Years,0,Exit,7,2019,11,5 to 10 Years
Elie Saab,Contemporary,12,9,1982,42,42,20 to 50 Years,0,Exit,8,2019,37,5 to 10 Years
Giada Forte,Contemporary,5,1,2002,22,22,20 to 50 Years,0,Exit,9,2019,17,5 to 10 Years
Jason Wu,Premium,13,11,2003,21,21,20 to 50 Years,0,Exit,10,2019,16,5 to 10 Years
Jil Sander,Premium,14,12,1998,26,26,20 to 50 Years,0,Exit,11,2019,21,5 to 10 Years
M.I.H Jeans,Contemporary,7,3,1969,55,55,50 to 100 Years,0,Exit,12,2019,50,5 to 10 Years
Mr. & Mrs. Italy,Luxury,5,1,2007,17,17,10 to 20 Years,0,Exit,13,2019,12,5 to 10 Years
Narciso Rodriguez,Premium,19,15,1938,86,86,50 to 100 Years,0,Exit,14,2019,81,5 to 10 Years
Nbd,Contemporary,5,1,2015,9,9,5 to 10 Years,0,Exit,15,2019,4,5 to 10 Years
Rachel Gilbert,Contemporary,9,5,2007,17,17,10 to 20 Years,0,Exit,16,2019,12,5 to 10 Years
